Game.Pairs,Mean
Bank Heist-Ms Pacman,0.56
Bank Heist-Pong,-0.17
Ms Pacman-Pong,-0.17
Bank Heist-Tennis,-0.15
Ms Pacman-Tennis,-0.08
Pong-Tennis,0.05
Bank Heist-Breakout,-0.13
Ms Pacman-Breakout,-0.13
Pong-Breakout,0.10
Tennis-Breakout,-0.02
Bank Heist-Demon Attack,-0.12
Ms Pacman-Demon Attack,-0.09
Pong-Demon Attack,0.02
Tennis-Demon Attack,-0.04
Breakout-Demon Attack,0.09
Bank Heist-Assault,-0.11
Ms Pacman-Assault,-0.04
Pong-Assault,-0.09
Tennis-Assault,-0.06
Breakout-Assault,0.06
Demon Attack-Assault,0.55
