ID,Breakout-Tennis,Pong-Tennis,Bank Heist-Ms Pacman,Bank Heist-Pong,Ms Pacman-Pong,Bank Heist-Tennis,Ms Pacman-Tennis,Bank Heist-Breakout,Ms Pacman-Breakout,Pong-Breakout,Bank Heist-Demon Attack,Ms Pacman-Demon Attack,Pong-Demon Attack,Tennis-Demon Attack,Breakout-Demon Attack,Bank Heist-Assault,Ms Pacman-Assault,Pong-Assualt,Tennis-Assault,Breakout-Assault,Demon Attack-Assault
p1,10,25,35,3,5,3,0,10,5,25,30,5,20,10,30,10,10,5,5,10,40
p2,14,35,36,0,0,21,0,0,16,66,0,0,12,0,10,0,0,13,6,3,43
p3,0,0,60,0,0,5,10,5,5,0,5,5,0,0,15,5,8,0,0,15,85
p4,64,72,64,19,17,31,37,49,37,77,24,22,42,59,39,25,57,19,61,38,77
p5,0,0,50,0,0,0,0,0,0,0,0,10,0,12,0,6,9,0,15,0,8
p6,5,10,80,0,0,0,0,0,0,15,5,10,30,5,25,0,5,20,10,10,85
p7,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
p8,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64
p9,15,25,75,0,10,5,5,5,5,20,5,10,5,8,10,5,10,5,5,25,70
p10,3,21,44,0,0,0,17,0,4,21,0,5,5,8,10,0,11,21,8,23,53
p11,15,0,60,10,10,9,8,11,8,30,7,6,40,26,17,9,8,29,21,11,40
p12,18,8,85,12,8,1,32,1,4,24,1,13,3,17,37,2,40,6,24,11,93
p13,0,8,30,5,5,0,5,16,8,6,10,6,0,5,50,60,40,20,10,66,70
p14,19,11,29,9,11,7,17,12,21,18,29,24,11,15,35,10,12,10,10,34,26
p15,68,67,47,0,0,5,3,0,0,43,16,10,36,17,12,11,68,68,32,26,100
p16,0,0,85,1,1,0,0,0,0,10,0,0,2,0,2,0,0,1,0,0,2
p17,75,87,80,0,0,50,50,29,33,73,41,44,70,73,87,24,26,27,63,89,94
p18,9,10,13,7,8,8,9,9,8,9,10,11,9,8,10,8,9,8,6,11,51
p19,25,30,60,32,20,8,15,8,20,30,20,25,15,15,60,21,31,25,23,56,76
p20,67,71,60,20,20,38,48,23,19,71,24,28,63,69,67,24,28,69,71,73,64
p21,47,11,15,5,10,8,9,0,0,0,0,43,43,41,59,62,63,18,17,15,74
p22,20,39,78,8,8,13,12,16,18,27,18,15,67,24,20,23,19,22,31,34,83
p23,10,35,75,10,10,10,15,10,10,20,10,13,10,10,15,10,15,15,10,20,70
p24,7,2,24,0,3,1,18,12,0,4,0,0,6,16,27,13,14,3,21,26,76
p25,1,3,6,0,1,1,1,0,1,0,1,1,1,1,0,0,0,1,1,1,8
p26,0,0,0,0,0,0,11,8,0,0,10,22,0,4,0,2,5,0,0,35,75
p27,100,85,0,15,15,70,73,51,50,89,0,0,29,50,49,0,0,21,47,50,0
p28,15,10,92,10,10,10,20,10,11,15,15,15,15,16,19,19,21,20,13,11,93
p29,29,58,72,10,9,22,22,9,10,32,20,19,16,8,41,13,12,11,31,36,82
p30,0,17,80,11,0,33,52,12,10,46,39,24,43,0,51,18,40,0,31,53,71
p31,11,0,11,0,0,0,16,0,0,0,0,0,9,8,9,0,7,0,0,5,3
p32,22,51,100,0,0,0,0,29,17,18,0,0,0,0,82,0,0,0,43,86,100
p33,20,15,59,0,0,0,0,0,0,20,2,2,25,16,32,0,0,19,10,26,53
p34,28,41,80,10,4,0,9,31,31,58,36,37,58,51,76,47,45,17,14,49,87
p35,10,0,70,7,15,4,3,21,26,10,13,20,8,34,54,12,13,27,19,32,84
p36,0,0,90,0,0,0,0,0,19,40,0,0,0,0,0,20,20,0,0,0,100
p37,0,0,66,0,0,0,0,0,0,0,0,0,0,29,0,0,34,31,25,0,0
p38,7,2,78,0,0,10,5,6,18,51,0,8,32,6,0,4,9,0,5,0,94
p39,0,10,67,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79
p40,15,15,90,5,5,0,0,0,2,40,0,5,30,12,30,2,3,5,3,5,5
p41,0,0,10,0,0,0,10,0,0,0,0,0,0,0,13,0,10,0,0,11,30
p42,26,15,72,15,21,10,25,30,19,72,41,40,23,15,11,23,35,38,23,41,87
p43,0,20,72,0,0,0,0,0,0,36,0,0,19,0,12,0,0,0,0,21,88
p44,11,47,100,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,100
p45,23,18,93,19,27,3,12,17,21,21,23,33,30,20,47,49,14,20,13,12,16
p46,6,4,59,11,5,3,3,3,3,59,5,4,4,5,5,9,0,0,2,4,17
p47,55,39,70,38,61,19,28,16,17,51,20,24,16,23,29,25,30,26,12,43,75
